Measure #,End-Use,Measure Name,Program,Home Type,Income Type,Replacement Type,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
4082,Cooling,"Refrigerant Charge Adjustment, Residential",HVAC Optimization,MF,NLI,Retrofit,30.00,31.00,32.00,32.00,33.00,34.00,35.00,36.00,37.00,37.00,38.00,39.00,40.00,41.00,42.00,43.00,44.00,45.00,47.00,48.00,30.00,61.00,93.00,125.00,158.00,188.00,218.00,248.00,280.00,312.00,345.00,379.00,414.00,450.00,486.00,524.00,562.00,601.00,641.00,682.00
4003,Cooling,"Fan Controller for Air Conditioner, Residential",HVAC Optimization,SF,NLI,Retrofit,8.00,9.00,9.00,9.00,9.00,10.00,10.00,10.00,10.00,11.00,11.00,11.00,11.00,12.00,12.00,12.00,12.00,13.00,13.00,13.00,8.00,17.00,26.00,35.00,44.00,54.00,64.00,74.00,84.00,94.00,105.00,116.00,127.00,139.00,151.00,161.00,173.00,184.00,196.00,208.00
9024,Water Heating,"ENERGY STAR HP water heater, 80 gal., located in garage/basement",HVAC Optimization - Future Offering,SF,All,ROB,20.00,49.00,82.00,116.00,180.00,270.00,392.00,544.00,714.00,887.00,1022.00,1119.00,1181.00,1212.00,1193.00,1103.00,981.00,829.00,658.00,486.00,20.00,68.00,150.00,266.00,446.00,716.00,1108.00,1651.00,2364.00,3250.00,4269.00,5381.00,6549.00,7744.00,8910.00,9973.00,10895.00,11642.00,12193.00,12546.00
7139,Lighting,LED Indoor Specialty Lamp - 10 watt avg.,CAMR,MF,LI,ROB,24.00,60.00,100.00,143.00,220.00,331.00,481.00,667.00,876.00,1087.00,1253.00,1372.00,1448.00,1486.00,1463.00,1352.00,1203.00,1017.00,807.00,596.00,24.00,84.00,184.00,327.00,547.00,878.00,1358.00,2024.00,2899.00,3985.00,5235.00,6598.00,8031.00,9496.00,10926.00,12229.00,13360.00,14277.00,14953.00,15385.00
7052,Lighting,LED Indoor Specialty Lamp - 10 watt avg.,Residential Lighting Efficiency Program,SF,LI,ROB,24.00,53.00,88.00,125.00,189.00,279.00,402.00,558.00,740.00,936.00,1101.00,1239.00,1338.00,1401.00,1410.00,1369.00,1246.00,1090.00,907.00,711.00,24.00,77.00,164.00,289.00,478.00,756.00,1158.00,1715.00,2454.00,3389.00,4487.00,5719.00,7044.00,8427.00,9808.00,11135.00,12321.00,13328.00,14124.00,14695.00
9020,Water Heating,"ENERGY STAR HP water heater, 50 gal., located in garage/basement",HVAC Optimization - Future Offering,SF,All,ROB,23.00,57.00,96.00,137.00,206.00,305.00,439.00,610.00,810.00,1024.00,1208.00,1355.00,1464.00,1533.00,1542.00,1497.00,1363.00,1192.00,992.00,778.00,23.00,80.00,176.00,313.00,519.00,824.00,1263.00,1872.00,2681.00,3704.00,4909.00,6255.00,7705.00,9217.00,10729.00,12180.00,13477.00,14578.00,15449.00,16073.00
7015,Lighting,LED 7 W replacing 35 W MR16 - indoor,Residential Lighting Efficiency Program,SF,NLI,ROB,5.00,7.00,17.00,28.00,41.00,66.00,102.00,148.00,201.00,253.00,297.00,330.00,352.00,366.00,366.00,361.00,359.00,349.00,338.00,326.00,5.00,12.00,29.00,58.00,98.00,164.00,266.00,414.00,615.00,868.00,1165.00,1495.00,1847.00,2213.00,2579.00,2939.00,3297.00,3644.00,3978.00,4297.00
3026,Building Shell,Residential Solar Screen_N/A_AC,Consumer Rebate Program - Future Offering,SF,NLI,Retrofit,617.00,597.00,579.00,561.00,543.00,526.00,510.00,493.00,476.00,459.00,443.00,426.00,409.00,393.00,224.00,0.00,0.00,0.00,0.00,0.00,617.00,1210.00,1780.00,2330.00,2858.00,3367.00,3853.00,4317.00,4752.00,5163.00,5459.00,5730.00,5978.00,6207.00,6264.00,6090.00,5908.00,5736.00,5574.00,5421.00
1004,Appliance,CEE Tier II Refrigerator,Refrigerator Exchange,SF,NLI,ROB,6.00,11.00,28.00,46.00,66.00,110.00,172.00,249.00,329.00,399.00,452.00,487.00,509.00,509.00,503.00,498.00,481.00,462.00,442.00,399.00,6.00,17.00,45.00,92.00,158.00,268.00,440.00,689.00,1017.00,1416.00,1868.00,2355.00,2863.00,3372.00,3874.00,4370.00,4846.00,5301.00,5734.00,6116.00
6047,HVAC,"Smart Thermostat, Residential (Gas heating)",CAMR,MF,LI,Retrofit,443.00,877.00,682.00,520.00,390.00,289.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,443.00,1320.00,2002.00,2521.00,2910.00,3197.00,3195.00,3193.00,3191.00,3191.00,3191.00,3124.00,2993.00,2891.00,2814.00,2755.00,2712.00,2712.00,2712.00,2712.00
